,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
63,0.56,0.957,4,-3.601,0,0.0411,0.196,1.1e-06,0.513,0.736,134.015,audio_features,5g4rGXAdV7dYKGPmrUQ3ge,spotify:track:5g4rGXAdV7dYKGPmrUQ3ge,https://api.spotify.com/v1/tracks/5g4rGXAdV7dYKGPmrUQ3ge,https://api.spotify.com/v1/audio-analysis/5g4rGXAdV7dYKGPmrUQ3ge,181520,4,Diva 
64,0.548,0.406,11,-6.567,1,0.0256,0.564,0.000164,0.0712,0.165,101.839,audio_features,3s1GSTcK3WAVbQhpVVziKN,spotify:track:3s1GSTcK3WAVbQhpVVziKN,https://api.spotify.com/v1/tracks/3s1GSTcK3WAVbQhpVVziKN,https://api.spotify.com/v1/audio-analysis/3s1GSTcK3WAVbQhpVVziKN,185147,4,The One That I Love
65,0.602,0.918,11,-4.288,0,0.0574,0.0895,0.0,0.352,0.689,95.025,audio_features,72S2rO2cq01ypaoOMITqCc,spotify:track:72S2rO2cq01ypaoOMITqCc,https://api.spotify.com/v1/tracks/72S2rO2cq01ypaoOMITqCc,https://api.spotify.com/v1/audio-analysis/72S2rO2cq01ypaoOMITqCc,180440,4,Hemel en aarde
66,0.586,0.873,9,-8.356,1,0.0386,0.0376,0.0,0.28,0.844,131.814,audio_features,58uGV2ng8QAeFznChuSJkv,spotify:track:58uGV2ng8QAeFznChuSJkv,https://api.spotify.com/v1/tracks/58uGV2ng8QAeFznChuSJkv,https://api.spotify.com/v1/audio-analysis/58uGV2ng8QAeFznChuSJkv,206007,4,All Out of Luck
67,0.651,0.904,1,-4.103,1,0.0383,0.0249,0.000103,0.184,0.966,105.085,audio_features,6Tf3FCVDL3qDM7IiBjUZh6,spotify:track:6Tf3FCVDL3qDM7IiBjUZh6,https://api.spotify.com/v1/tracks/6Tf3FCVDL3qDM7IiBjUZh6,https://api.spotify.com/v1/audio-analysis/6Tf3FCVDL3qDM7IiBjUZh6,178233,4,Solo
68,0.69,0.82,2,-8.74,1,0.0367,0.358,2.28e-05,0.0671,0.827,103.994,audio_features,5QbZ2liHjmV27XMmRoEquv,spotify:track:5QbZ2liHjmV27XMmRoEquv,https://api.spotify.com/v1/tracks/5QbZ2liHjmV27XMmRoEquv,https://api.spotify.com/v1/audio-analysis/5QbZ2liHjmV27XMmRoEquv,197619,4,Fly on the Wings of Love
69,0.547,0.84,5,-6.98,1,0.0389,0.0934,6.74e-05,0.16,0.619,135.258,audio_features,4R2tCloerHegAfPWjR3o7d,spotify:track:4R2tCloerHegAfPWjR3o7d,https://api.spotify.com/v1/tracks/4R2tCloerHegAfPWjR3o7d,https://api.spotify.com/v1/audio-analysis/4R2tCloerHegAfPWjR3o7d,186018,4,My Star
70,0.601,0.864,1,-2.635,0,0.0383,0.0608,0.0,0.243,0.561,136.961,audio_features,4W7sgrHikz4hbndXFQJzBu,spotify:track:4W7sgrHikz4hbndXFQJzBu,https://api.spotify.com/v1/tracks/4W7sgrHikz4hbndXFQJzBu,https://api.spotify.com/v1/audio-analysis/4W7sgrHikz4hbndXFQJzBu,187093,4,Listen to Your Heartbeat
71,0.572,0.95,11,-3.784,0,0.042,0.059,0.000225,0.195,0.798,124.017,audio_features,2byZAXWOqDx3w8suK3btui,spotify:track:2byZAXWOqDx3w8suK3btui,https://api.spotify.com/v1/tracks/2byZAXWOqDx3w8suK3btui,https://api.spotify.com/v1/audio-analysis/2byZAXWOqDx3w8suK3btui,177213,4,I Would Die for You
72,0.727,0.859,10,-6.678,1,0.0508,0.0526,0.0,0.0714,0.554,108.04,audio_features,7mx6IZujrnfHLBmqcIOxIe,spotify:track:7mx6IZujrnfHLBmqcIOxIe,https://api.spotify.com/v1/tracks/7mx6IZujrnfHLBmqcIOxIe,https://api.spotify.com/v1/audio-analysis/7mx6IZujrnfHLBmqcIOxIe,181333,4,Never Ever Let You Go
73,0.695,0.878,6,-4.378,1,0.0307,0.0552,1.53e-05,0.329,0.97,128.013,audio_features,7uSeUTnMWH7CgEyl2rNtMC,spotify:track:7uSeUTnMWH7CgEyl2rNtMC,https://api.spotify.com/v1/tracks/7uSeUTnMWH7CgEyl2rNtMC,https://api.spotify.com/v1/audio-analysis/7uSeUTnMWH7CgEyl2rNtMC,172667,4,Runaway
74,0.669,0.814,7,-6.469,1,0.0496,0.0243,9.29e-05,0.214,0.899,144.043,audio_features,70tFqMdkFXCPeirRaLAKKM,spotify:track:70tFqMdkFXCPeirRaLAKKM,https://api.spotify.com/v1/tracks/70tFqMdkFXCPeirRaLAKKM,https://api.spotify.com/v1/audio-analysis/70tFqMdkFXCPeirRaLAKKM,181023,4,I Wanna
75,0.799,0.741,4,-7.341,0,0.207,0.0569,0.00146,0.342,0.587,95.02,audio_features,6eSegCmgoWltb2VKsXmLOa,spotify:track:6eSegCmgoWltb2VKsXmLOa,https://api.spotify.com/v1/tracks/6eSegCmgoWltb2VKsXmLOa,https://api.spotify.com/v1/audio-analysis/6eSegCmgoWltb2VKsXmLOa,181627,4,Everyway That I Can
76,0.559,0.792,7,-6.083,0,0.0304,0.2,0.0,0.141,0.644,85.004,audio_features,3z6rnKobVgVCYIDy43MU7z,spotify:track:3z6rnKobVgVCYIDy43MU7z,https://api.spotify.com/v1/tracks/3z6rnKobVgVCYIDy43MU7z,https://api.spotify.com/v1/audio-analysis/3z6rnKobVgVCYIDy43MU7z,247933,4,Sanomi
77,0.563,0.933,2,-3.613,1,0.0625,0.0281,0.0,0.128,0.579,132.012,audio_features,1KMl8EuoBAXKEmQT3PtNGQ,spotify:track:1KMl8EuoBAXKEmQT3PtNGQ,https://api.spotify.com/v1/tracks/1KMl8EuoBAXKEmQT3PtNGQ,https://api.spotify.com/v1/audio-analysis/1KMl8EuoBAXKEmQT3PtNGQ,181853,4,Give Me Your Love
78,0.733,0.919,9,-4.69,0,0.0461,0.0347,0.000308,0.0924,0.658,113.009,audio_features,2xagoLNhrbVA2fpOkxs2Ze,spotify:track:2xagoLNhrbVA2fpOkxs2Ze,https://api.spotify.com/v1/tracks/2xagoLNhrbVA2fpOkxs2Ze,https://api.spotify.com/v1/audio-analysis/2xagoLNhrbVA2fpOkxs2Ze,180587,4,Shake It
79,0.872,0.865,0,-5.257,0,0.0807,0.305,7.53e-05,0.0646,0.963,126.011,audio_features,1WyKjEjQzTk8wzsfbHU44s,spotify:track:1WyKjEjQzTk8wzsfbHU44s,https://api.spotify.com/v1/tracks/1WyKjEjQzTk8wzsfbHU44s,https://api.spotify.com/v1/audio-analysis/1WyKjEjQzTk8wzsfbHU44s,192013,4,For Real
80,0.685,0.946,11,-4.075,1,0.0283,0.0066,2.74e-05,0.0728,0.754,127.008,audio_features,6GsfMZzKZaUXlhDkZRuLe9,spotify:track:6GsfMZzKZaUXlhDkZRuLe9,https://api.spotify.com/v1/tracks/6GsfMZzKZaUXlhDkZRuLe9,https://api.spotify.com/v1/audio-analysis/6GsfMZzKZaUXlhDkZRuLe9,182600,4,It Hurts
81,0.751,0.528,0,-6.122,1,0.0258,0.383,0.0,0.154,0.372,104.995,audio_features,08kylRNWYKmZzVtXJAnipO,spotify:track:08kylRNWYKmZzVtXJAnipO,https://api.spotify.com/v1/tracks/08kylRNWYKmZzVtXJAnipO,https://api.spotify.com/v1/audio-analysis/08kylRNWYKmZzVtXJAnipO,176440,4,The War Is Not Over
82,0.422,0.181,1,-8.678,1,0.0323,0.95,0.0,0.104,0.117,117.796,audio_features,2I3um1j45dlxb3q3nHKKmx,spotify:track:2I3um1j45dlxb3q3nHKKmx,https://api.spotify.com/v1/tracks/2I3um1j45dlxb3q3nHKKmx,https://api.spotify.com/v1/audio-analysis/2I3um1j45dlxb3q3nHKKmx,261871,3,Angel
83,0.775,0.744,6,-5.687,0,0.0366,0.197,7.99e-05,0.0261,0.963,112.993,audio_features,6LkCvCc9oFoLDv4DLhzTox,spotify:track:6LkCvCc9oFoLDv4DLhzTox,https://api.spotify.com/v1/tracks/6LkCvCc9oFoLDv4DLhzTox,https://api.spotify.com/v1/audio-analysis/6LkCvCc9oFoLDv4DLhzTox,175067,4,My Number One
84,0.552,0.945,3,-3.863,1,0.0527,0.000216,0.0166,0.093,0.555,123.025,audio_features,3EixrP74QvVXmX5sOP3ul6,spotify:track:3EixrP74QvVXmX5sOP3ul6,https://api.spotify.com/v1/tracks/3EixrP74QvVXmX5sOP3ul6,https://api.spotify.com/v1/audio-analysis/3EixrP74QvVXmX5sOP3ul6,246746,4,Hard Rock Hallelujah
85,0.529,0.934,6,-3.526,1,0.0451,0.00146,2.31e-05,0.0345,0.62,130.982,audio_features,2eGkOAOi972MzM5optdlT7,spotify:track:2eGkOAOi972MzM5optdlT7,https://api.spotify.com/v1/tracks/2eGkOAOi972MzM5optdlT7,https://api.spotify.com/v1/audio-analysis/2eGkOAOi972MzM5optdlT7,180987,4,Invincible
86,0.465,0.459,6,-8.137,0,0.0351,0.883,0.000173,0.0692,0.288,90.807,audio_features,0xDQnj1CobUOFmVsovknB1,spotify:track:0xDQnj1CobUOFmVsovknB1,https://api.spotify.com/v1/tracks/0xDQnj1CobUOFmVsovknB1,https://api.spotify.com/v1/audio-analysis/0xDQnj1CobUOFmVsovknB1,181440,4,Lejla
87,0.716,0.947,0,-2.503,0,0.0533,0.00202,8.09e-06,0.337,0.571,128.024,audio_features,6UYZElHRYzX5cCnROcG7QX,spotify:track:6UYZElHRYzX5cCnROcG7QX,https://api.spotify.com/v1/tracks/6UYZElHRYzX5cCnROcG7QX,https://api.spotify.com/v1/audio-analysis/6UYZElHRYzX5cCnROcG7QX,200859,4,Song 
88,0.725,0.959,0,-5.267,1,0.0566,0.00523,0.0082,0.283,0.965,144.031,audio_features,3ve2mVR6BkXuNWfHVoA5yu,spotify:track:3ve2mVR6BkXuNWfHVoA5yu,https://api.spotify.com/v1/tracks/3ve2mVR6BkXuNWfHVoA5yu,https://api.spotify.com/v1/audio-analysis/3ve2mVR6BkXuNWfHVoA5yu,179893,4,Dancing Lasha Tumbai   
89,0.684,0.796,9,-5.425,0,0.068,6.59e-05,0.0299,0.126,0.379,127.988,audio_features,11HGVXkQeb543M75hMBnOM,spotify:track:11HGVXkQeb543M75hMBnOM,https://api.spotify.com/v1/tracks/11HGVXkQeb543M75hMBnOM,https://api.spotify.com/v1/audio-analysis/11HGVXkQeb543M75hMBnOM,214000,4,Qele qele  
